AnimalID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171125,9.098461538,0.63508834,14.32629283,Steer,201701_HI_ME01,0.5,1,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0
20171134,8.887692308,0.857964648,10.35904257,Steer,201701_MI_ME01,0.125,0.25,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171139,10.88307692,1.23035896,8.845448583,Steer,201701_HI_ME01,0.0546875,0.109375,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007507324,0.004638672,0.0078125,0.00390625,0.06640625,0,0.003173828,0,0,0,0.000305176,0,0,0
20171141,8.815384615,1.278374457,6.895776559,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171144,7.910769231,1.636930893,4.832683692,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171146,9.850769231,1.384797293,7.113509882,Steer,201701_HI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171150,10.73384615,1.659196683,6.469303046,Steer,201701_MI_MD01,0.5,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171155,8.593846154,0.829134378,10.36484119,Steer,201701_MI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
20171158,8.389230769,1.075996876,7.79670551,Steer,201701_HI_MD01,0.5234375,0.546875,0.03125,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0
20171161,8.652307692,1.295817049,6.677105923,Steer,201701_MI_ME01,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.6875,0,0,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0
