contig length Sample340 Sample341 Sample342 Sample343 Sample344 Sample345 Sample346 Sample347 Sample348 Sample349 Sample34 Sample353 Sample354 Sample355 Sample356 Sample357 Sample358 Sample359 Sample35
k127_111292264_1 1263 0 0 0 0 0 0 6.25251409684013e-08 0 0 0 0 7.2634889072179e-08 0 0 0 0 0 0 0
k127_78563592_4 2349 0 0 0 0 0 0 3.12625704842006e-08 0 0 0 0 0 0 0 0 0 0 0 0
k127_72020435_3 816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_13122755_10 2487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_32753498_3 2400 2.87056809403751e-07 2.03989913514736e-07 8.07116077723212e-07 0 1.42242929452875e-06 2.83981232510442e-07 3.34509504180947e-06 1.22743629431746e-07 7.65179549927947e-07 2.67931039194649e-07 9.41469357019157e-07 1.23479311422704e-06 1.29023918805952e-06 6.20660708841079e-07 8.96530655134521e-07 8.07252110787683e-07 1.42957425970638e-06 3.39340105656935e-07 8.12539210362553e-06
k127_104747641_1 1152 1.0405809340886e-06 5.77971421625086e-07 4.1970036041607e-07 5.72778221024591e-07 9.66178388736507e-07 4.80583624248441e-07 1.40681567178903e-06 7.97833591306347e-07 1.53035909985589e-06 3.27471270126794e-07 1.48462475529944e-06 1.67060244866012e-06 1.17294471641774e-06 1.20253012337959e-06 1.79306131026904e-06 9.75429633868451e-07 1.5208236805387e-06 1.0519543275365e-06 2.00667578267675e-06
k127_202900942_27 1581 0 0 0 0 2.68382885760141e-08 0 0 0 0 0 0 0 0 0 6.18297003541049e-08 0 6.08329472215479e-08 0 0
k127_6582327_1 1875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_248698167_1 1053 3.58821011754689e-08 0 6.4569286217857e-08 0 1.07353154304056e-07 0 3.12625704842006e-08 2.04572715719576e-08 0 0 0 1.45269778144358e-07 7.81963144278495e-08 3.87912943025674e-08 3.09148501770524e-08 0 1.21665894443096e-07 0 6.57926486123524e-08
k127_39305090_4 621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_19671359_2 3237 7.17642023509379e-08 0 4.51985003524999e-07 1.43194555256148e-07 6.97795502976366e-07 1.96602391737999e-07 1.87575422905204e-07 5.1143178929894e-07 0 2.97701154660721e-07 1.81051799426761e-07 2.54222111752627e-07 1.56392628855699e-07 3.1033035442054e-07 6.18297003541049e-08 2.01813027696921e-07 1.21665894443096e-07 3.73274116222629e-07 2.30274270143234e-07
k127_26216389_11 1710 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_124386169_1 813 1.32763774349235e-06 7.13964697301577e-05 1.38823965368392e-05 3.95216972506968e-05 1.29628933822148e-05 5.7888482011744e-06 3.88593751118614e-05 1.65294754301418e-05 1.97853569338512e-05 2.85793108474293e-06 2.25952645684598e-05 2.7601257847428e-06 2.42799556298473e-05 4.69374661061066e-06 1.70649972977329e-05 2.25357880928228e-06 0.000126654196115263 1.03498732225365e-05 5.72396042927466e-06
k127_13128140_1 756 1.07646303526407e-07 3.39983189191227e-08 3.22846431089285e-08 7.15972776280738e-08 1.07353154304056e-07 8.73788407724438e-08 1.87575422905204e-07 2.04572715719576e-08 1.09311364275421e-07 0 3.2589323896817e-07 0 0 3.87912943025674e-07 3.09148501770524e-08 3.36355046161535e-08 2.73748262496966e-07 1.01802031697081e-07 0
k127_104752561_1 399 0 0 0 0 0 0 0 0 0 0 0 3.63174445360895e-08 0 0 0 0 0 0 0
k127_104752561_2 714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85117070_20 507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85117070_21 1866 0 0 0 0 0 0 0 0 7.28742428502807e-08 0 0 0 0 0 0 0 0 0 0
k127_85117070_24 1095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_98207950_2 483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_98207950_3 1005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_104753324_6 1653 1.07646303526407e-07 3.39983189191227e-08 0 0 0 8.73788407724438e-08 6.25251409684013e-08 3.06859073579364e-07 0 0 0 3.63174445360895e-07 1.56392628855699e-07 3.87912943025674e-08 0 2.35448532313074e-07 0 1.01802031697081e-07 1.31585297224705e-07
k127_72027223_2 1137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_52395880_8 3843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_111300445_3 177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.09148501770524e-08 0 3.0416473610774e-08 0 0
k127_124387813_1 1599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_235617893_1 924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.09148501770524e-08 0 0 0 0
k127_170194635_2 753 2.51174708228282e-07 3.39983189191227e-08 0 0 2.68382885760141e-08 1.09223550965555e-07 2.18837993389404e-07 1.02286357859788e-07 4.73682578526825e-07 1.19080461864289e-07 3.62103598853522e-08 3.63174445360895e-08 0 1.93956471512837e-07 1.85489101062315e-07 0 1.82498841664644e-07 0 1.64481621530881e-07
k127_26218748_2 663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0416473610774e-08 6.78680211313871e-08 0
k127_255227151_2 3228 0 0 0 0 0 0 0 0 3.64371214251404e-08 0 0 0 0 0 0 0 0 0 0
k127_235620599_2 2358 8.10935486565598e-06 6.66367050814805e-06 5.35925075608213e-06 4.58222576819673e-06 8.48089919002045e-06 5.35195399731218e-06 2.10084473653828e-05 5.80986512643596e-06 1.32266750773259e-05 8.51425302329663e-06 6.15576118050988e-06 1.47085650371162e-05 1.30978826666648e-05 8.96078898389308e-06 1.13766648651553e-05 1.07969969817853e-05 7.48245250825039e-06 1.0519543275365e-05 3.22712941443589e-05
k127_98211567_3 1647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_78574304_4 660 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85122085_2 1077 0 6.79966378382454e-08 0 0 0 0 0 4.09145431439152e-08 0 0 7.24207197707044e-08 7.2634889072179e-08 0 0 0 3.36355046161535e-08 0 0 1.31585297224705e-07
k127_6589435_8 861 0 0 0 3.57986388140369e-08 2.68382885760141e-08 0 0 0 3.64371214251404e-08 0 0 1.45269778144358e-07 0 0 1.2365940070821e-07 6.72710092323069e-08 0 0 0
k127_72031371_1 1536 0 0 0 0 0 0 0 0 0 0 0 7.2634889072179e-08 0 3.87912943025674e-08 0 0 0 0 0
k127_46876_2 933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_46909_1 429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_46909_2 933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_124394174_6 1308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_78577457_2 705 0 0 0 0 0 0 0 0 0 0 0 0 3.90981572139247e-08 0 6.18297003541049e-08 0 0 0 0
